sec,nat,scho,town,sect,study,final
82.72,58,395,30,8,3,5
94.69,58,395,30,8,3,6
88.56,58,395,30,8,3,6
96.25,58,395,30,8,3,6
83.58,58,395,30,8,3,5
90.75,58,395,30,8,3,5
85.75,58,395,30,8,3,5
94.06,58,395,30,8,3,6
74.67,58,716,44,8,3,4
81.92,58,101,44,8,3,4
81.08,58,395,30,8,3,5
98.94,58,395,30,8,3,6
74.92,58,1482,44,8,3,5
92.53,58,395,30,8,3,6
85.31,58,395,30,8,3,5
92.22,58,716,44,8,3,6
76.75,58,301,30,8,3,4
80.53,58,301,30,8,3,5
94.78,58,1853,44,8,3,6
99.69,58,301,30,8,3,6
91.56,58,301,30,8,3,5
81.42,58,301,30,8,3,5
82.11,58,301,30,8,3,5
99.97,58,547,44,8,3,6
81.36,58,301,30,8,3,5
96.75,58,301,30,8,3,6
96.06,58,301,30,8,3,6
71.14,58,301,30,8,3,4
71.64,58,301,30,8,3,4
77.58,58,301,30,8,3,5
86.44,58,301,30,8,3,5
75.83,58,301,30,8,3,4
70.03,58,301,30,8,3,4
99.08,58,571,30,8,3,6
96.81,58,571,30,8,3,6
95.67,58,571,30,8,3,6
88.72,58,571,30,8,3,6
89.75,58,571,30,8,3,6
98.44,58,571,30,8,3,6
96.22,58,571,30,8,3,6
95.94,58,571,30,8,3,6
68.92,58,395,30,8,3,4
74,58,2433,30,9,5,4
75.74,58,2433,30,9,5,4
72.75,58,395,30,8,3,4
73.22,58,2433,30,9,5,4
74.94,58,301,30,8,3,4
72.38,58,2007,44,9,3,5
63.88,58,950,44,9,3,3
70.58,58,136,44,8,3,4
74.44,58,950,44,9,3,4
69.06,58,950,44,9,3,4
69.09,58,950,44,9,3,3
81.5,58,950,44,8,3,5
88.41,58,950,44,9,3,5
92.33,58,950,44,8,3,6
72.64,58,950,44,8,3,4
78.81,58,320,44,8,3,5
80.19,58,791,44,8,3,4
77.19,58,791,44,8,3,4
77.53,58,791,44,8,3,4
72.72,58,791,44,8,3,4
73.72,58,791,44,8,3,4
66.06,58,791,44,8,3,3
81.36,58,791,44,8,3,4
73.75,58,791,44,8,3,4
81.39,58,791,44,8,3,4
78.31,58,791,44,8,3,4
82.14,58,791,44,8,3,4
73.22,58,791,44,8,3,4
76.89,58,791,44,8,3,4
84.81,58,791,44,8,3,5
73.44,58,791,44,8,3,4
79.03,58,2007,44,9,3,4
67.53,58,2383,44,8,3,3
66.39,58,2433,30,9,5,3
61.17,58,2437,30,9,5,3
68.26,58,2437,30,9,5,3
91.89,49,1496,30,8,3,6
79.53,58,1496,30,8,3,5
91.47,64,1496,30,8,3,6
87.86,77,1496,30,7,3,6
86.74,58,1496,30,7,3,5
87.67,58,1496,30,8,3,5
86.4,58,1496,30,7,3,5
85.26,77,1496,30,7,3,5
78.06,63,1496,30,8,3,5
78.33,77,1496,30,8,3,4
79.47,63,1496,30,8,3,5
94.2,58,1496,30,7,3,6
74.86,77,1496,30,8,3,4
89.69,63,1496,30,8,3,6
90.58,58,1496,30,8,3,6
58.32,77,1486,30,9,2,3
97.39,77,1496,30,8,3,6
88.69,77,1496,30,7,3,5
97.81,58,1496,30,8,3,6
85.67,58,1496,30,8,3,5
91.72,77,1496,30,8,3,6
91.33,58,1496,30,8,3,6
89.48,58,1496,30,8,3,6
65.39,58,2437,30,9,5,3
94.97,77,1496,30,7,3,6
85.19,58,1496,30,8,3,5
80.31,58,1496,30,8,3,5
87.03,58,1496,30,8,3,5
70.78,58,1496,30,8,3,4
85.11,58,1496,30,8,3,5
83.61,58,1496,30,8,3,5
87.14,58,1496,30,7,3,5
85.11,58,337,44,8,3,5
78.25,58,1496,30,8,3,5
86.69,58,119,44,8,3,4
88.66,61,1496,30,7,3,5
81.81,58,1496,30,8,3,5
86.42,58,1496,30,8,3,6
87.36,58,1496,30,8,3,5
92.26,58,1496,30,7,3,6
83.61,77,1496,30,8,3,5
93.78,58,1496,30,8,3,6
79.19,58,1496,30,8,3,5
83.86,50,1496,30,8,3,5
93.67,58,1496,30,8,3,6
85.72,58,1496,30,8,3,5
95.08,58,1496,30,8,3,6
85.19,58,1496,30,8,3,5
96.31,58,1496,30,8,3,6
73.42,61,1471,30,8,3,4
85.25,49,1471,30,8,3,5
75.64,6,1471,30,8,3,4
93.28,58,1471,30,8,3,6
82.21,58,1471,30,9,3,5
72.72,58,1471,30,8,3,4
83.25,58,1471,30,8,3,5
71.78,58,1471,30,8,3,4
89.58,58,1471,30,8,3,6
82.44,58,1471,30,8,3,5
73.39,58,1471,30,8,3,4
88.72,58,1471,30,8,3,6
97.67,50,1471,30,8,3,6
77.5,58,1471,30,8,3,5
90.78,58,1471,30,8,3,6
78.78,58,474,44,8,3,5
76.44,58,1486,30,8,3,4
79.14,58,1471,30,8,3,5
84.56,58,1471,30,8,3,6
88.65,58,1471,30,9,3,6
79.89,58,1471,30,8,3,4
90.72,58,1471,30,8,3,6
98.33,58,1471,30,8,3,6
79.22,58,1471,30,8,3,5
80.03,58,1471,30,8,3,5
69.86,58,1471,30,8,3,4
87.76,58,1471,30,9,3,6
95.14,77,1471,30,8,3,6
95.67,58,1879,35,8,3,6
87.09,58,1471,30,9,3,5
90.67,58,1471,30,8,3,6
74.17,58,1471,30,8,3,4
80.53,58,1471,30,8,3,5
88.97,58,1471,30,8,3,6
83.14,58,1471,30,8,3,5
78.67,58,1471,30,8,3,5
83.36,58,474,44,8,3,5
64.58,58,1471,30,8,3,3
95.29,58,1471,30,9,3,6
77.97,58,1471,30,8,3,5
85.94,58,1471,30,8,3,6
77.86,58,1471,30,8,3,5
72.31,58,1471,30,8,3,4
86.56,58,1471,30,8,3,5
77.28,58,1471,30,8,3,4
82.26,58,1471,30,9,3,5
76.36,58,1471,30,8,3,5
71.86,58,2139,30,8,3,4
90.25,58,862,43,8,3,6
72.5,58,1471,30,8,3,4
76.56,58,1471,30,8,3,4
93.56,58,1471,30,9,3,6
76.22,58,1471,30,8,3,4
95.19,58,1471,30,8,3,6
84.94,58,1471,30,8,3,5
65.83,58,1605,44,8,3,4
74.58,58,1471,30,8,3,4
68.61,77,1471,30,8,3,4
85.11,58,1471,30,8,3,5
75.25,58,1471,30,8,3,5
85,58,1471,30,8,3,5
75.33,58,1471,30,8,3,4
90.83,58,1496,30,7,3,6
90.74,58,1471,30,9,3,6
98.39,58,1471,30,8,3,6
82.81,58,1471,30,8,3,5
60.61,58,623,44,8,5,4
81.78,58,1471,30,8,3,5
99.31,63,1471,30,8,3,6
86.56,58,1471,30,8,3,5
83.11,58,1471,30,8,3,5
85.44,58,1471,30,9,3,5
87.33,58,1471,30,8,3,5
84.35,58,1471,30,9,3,5
74.18,58,1471,30,9,3,5
75.56,58,1471,30,8,3,5
72.81,58,1471,30,8,3,4
94.33,58,1471,30,8,3,6
87.72,58,1471,30,8,3,6
98.28,58,2277,44,8,3,6
84.06,58,1471,30,8,3,5
86.78,58,1471,30,8,3,6
71.5,58,1471,30,9,3,4
83.36,58,1471,30,8,3,5
93.28,58,1471,30,8,3,6
90.47,58,1471,30,8,3,6
79.78,58,1471,30,8,3,5
78.25,58,1471,30,8,3,5
68.92,58,1471,30,8,3,4
82,58,1471,30,9,3,5
64.86,58,1471,30,8,3,4
94.75,77,1471,30,8,3,6
86.71,58,1471,30,9,3,6
88.11,58,1496,30,7,3,5
89.43,58,1496,30,7,3,5
91.47,58,1471,30,8,3,6
83.61,58,1471,30,8,3,5
83.17,58,1471,30,8,3,5
85.22,58,1471,30,8,3,6
90.08,77,1471,30,8,3,6
95.42,58,1471,30,8,3,6
86.81,58,1471,30,8,3,6
86.44,58,2277,44,8,3,5
84.61,58,1471,30,8,3,5
90.39,58,1471,30,8,3,6
86.53,58,1471,30,8,3,6
77.56,58,1471,30,8,3,5
90.64,58,1471,30,8,3,6
85.86,58,1471,30,8,3,5
84.17,58,1471,30,8,3,5
94.69,58,1471,30,8,3,6
84.18,58,1471,30,9,3,5
79.94,58,1471,30,9,3,5
91.86,58,1496,30,7,3,6
76.44,58,1486,30,8,3,4
95.19,58,1471,30,8,3,6
82,58,2128,30,8,3,5
75.91,58,484,43,9,5,5
65.56,58,1471,30,9,3,4
93.19,58,1471,30,8,3,6
87.91,58,1471,30,9,3,6
79,58,1471,30,9,3,5
84.5,58,624,44,8,3,6
81.39,58,2386,44,8,3,5
76.14,58,1486,30,8,3,4
69.83,58,2011,44,9,5,4
73.86,58,1486,30,8,3,4
97.64,58,1486,30,8,3,6
67.29,58,1486,30,9,3,4
86.06,58,1486,30,8,3,5
90.14,58,1486,30,8,3,5
82.03,58,1486,30,8,3,5
74.85,58,1486,30,9,3,4
71.09,58,1486,30,9,3,4
83.14,58,1486,30,8,3,5
86.03,58,624,44,8,3,5
95.06,58,1471,30,8,3,6
80.29,58,1486,30,9,3,5
92.67,58,1486,30,8,3,6
71.97,58,1486,30,8,3,4
73.08,58,474,44,8,3,5
63.74,58,1486,30,9,3,4
82.53,58,1486,30,8,3,5
82.67,58,1486,30,8,3,5
76.62,58,1486,30,9,3,5
83.97,58,1486,30,8,3,5
79.62,58,1486,30,9,3,5
66.03,58,1486,30,9,3,4
69.92,58,1486,30,8,3,4
85.47,58,1486,30,8,3,5
79.75,58,1486,30,8,3,4
77.78,58,1486,30,8,3,4
64.97,58,339,43,8,3,3
69.06,58,1486,30,9,3,4
67.56,58,1344,30,9,3,4
75.89,58,1486,30,8,3,5
95.17,58,1471,30,8,3,6
74.08,58,1486,30,8,3,4
96.5,58,1471,30,8,3,6
89.36,58,1486,30,8,3,5
69,58,1486,30,8,3,4
67.86,58,2139,30,8,3,4
76.67,58,1486,30,8,3,4
74.69,58,2418,5,8,3,4
83,58,1486,30,8,3,5
62.35,58,2437,30,9,5,3
80.5,58,1486,30,8,3,5
75.18,58,1486,30,9,3,5
77.39,58,256,35,8,3,4
81.03,58,1486,30,8,3,5
98.25,58,1471,30,8,3,6
95.25,58,1471,30,8,3,6
70.74,58,1486,30,9,3,4
65.25,58,1486,30,8,3,3
65.67,63,1486,30,8,3,4
72.92,58,1486,30,8,3,4
69.75,58,2012,43,8,3,4
86.06,58,1486,30,8,3,5
78.94,58,1486,30,9,3,5
76.5,58,1486,30,8,3,4
80.64,58,1486,30,8,3,5
76.67,58,1486,30,8,3,4
92.56,58,1444,30,8,3,6
92.81,58,1444,30,8,3,6
98.89,58,1444,30,8,3,6
82.75,58,1444,30,8,3,5
95.78,58,1355,15,8,3,6
99.75,58,1444,30,8,3,6
78.67,58,1486,30,8,3,5
83.81,58,1471,30,8,3,5
87.44,58,1444,30,8,3,5
73.91,58,1471,30,9,3,4
94.61,58,1444,30,8,3,6
97.61,58,1444,30,8,3,6
86.67,58,1444,30,8,3,5
85.53,58,1444,30,8,3,5
86.83,58,96,5,9,5,5
93.28,58,1444,30,8,3,6
90.86,58,1444,30,8,3,6
89.78,58,1444,30,8,3,6
83.92,58,1444,30,8,3,5
76.47,58,1444,30,8,3,4
80.22,58,1444,30,8,3,5
78.81,58,146,44,8,3,4
88.44,58,146,44,8,3,5
81.97,58,1444,30,8,3,5
84.11,58,1444,30,8,3,5
94.89,58,1444,30,8,3,6
83.86,58,1444,30,8,3,5
76.64,58,1444,30,8,3,4
78.94,58,1444,30,8,3,5
95.22,58,1444,30,8,3,6
67.78,58,328,30,8,3,4
86.22,58,1444,30,8,3,5
86.42,58,1444,30,8,3,5
81.17,58,1444,30,8,3,5
82.58,58,1362,44,8,3,5
95.94,58,1444,30,8,3,6
96.28,58,1444,30,8,3,6
83.22,58,1444,30,8,3,5
86,58,1444,30,8,3,5
86.58,58,1444,30,8,3,5
92.14,58,1444,30,8,3,6
90.36,58,1444,30,8,3,6
83.28,58,1444,30,8,3,5
83.08,58,1444,30,8,3,5
65.59,58,1486,30,9,3,4
91.39,58,1444,30,8,3,6
89.03,58,1444,30,8,3,6
87.06,58,1444,30,8,3,5
90.89,58,1444,30,8,3,6
72.94,58,65,23,8,3,5
81.47,58,1444,30,8,3,5
80.11,77,1486,30,8,3,5
75.64,58,1563,44,8,3,4
84.08,58,1444,30,8,3,5
95.39,58,1444,30,8,3,6
78.36,58,1144,35,8,3,4
91.97,58,1444,30,8,3,6
93.78,58,1444,30,8,3,6
81.97,58,1444,30,8,3,5
86.5,58,1069,44,8,3,6
77.61,58,1444,30,8,3,4
86.33,58,1444,30,8,3,5
78.92,58,1444,30,8,3,5
78.83,58,623,44,8,5,5
87.83,58,1444,30,8,3,5
96.31,58,1975,43,8,3,6
82.19,58,4,19,8,3,5
73.06,58,1429,44,8,3,4
85.25,58,2007,44,8,3,6
78.14,58,2007,44,8,3,5
94.08,58,1429,44,8,3,6
94.69,58,1429,44,8,3,6
74.86,58,1429,44,8,3,4
85.78,58,2446,44,8,3,5
96.39,58,2446,44,8,3,6
73.56,58,2446,44,9,3,4
63.31,58,2446,44,8,3,3
71,58,2446,44,8,3,4
60.82,58,2446,44,9,3,3
81.25,58,2446,44,8,3,4
65.38,58,2446,44,9,3,3
64.76,58,2446,44,9,3,3
74.56,58,2446,44,9,3,4
85.17,58,2383,44,8,3,4
65.88,58,2446,44,9,3,3
89.92,58,2446,44,8,3,5
81.22,58,2446,44,8,3,4
64.79,58,2446,44,9,3,4
66.03,58,2446,44,9,3,3
93.56,49,2446,44,8,3,6
84.89,58,2383,44,8,3,5
66.44,58,2446,44,9,3,3
66.56,58,2446,44,9,3,3
68.29,58,2446,44,9,3,3
71.31,58,2383,44,8,3,4
65.68,58,2445,44,9,5,4
66.71,58,2446,44,9,3,4
82.69,58,2446,44,8,3,5
87,58,2446,44,8,3,5
73.03,58,2383,44,8,3,4
61.18,58,2445,44,9,5,3
58.91,58,2445,44,9,5,3
90,61,2446,44,8,3,5
94,58,2446,44,8,3,6
80.59,58,2446,44,9,3,5
62.03,58,2446,44,9,3,3
81.56,58,2139,30,8,3,5
86.56,58,2446,44,8,3,5
78.65,58,2446,44,9,3,5
62.88,58,2446,44,9,3,3
92.06,77,2446,44,8,3,5
99.83,58,2446,44,8,3,6
75.89,58,2383,44,8,3,4
63.38,58,2446,44,9,3,3
74.53,58,2446,44,8,3,4
86.29,58,2446,44,9,3,5
84.72,58,2383,44,8,3,5
76.19,58,2383,44,8,3,4
67.97,58,2446,44,9,3,4
82.11,58,2446,44,8,3,5
65.44,58,2446,44,9,3,3
77.32,58,2446,44,9,3,4
78.26,58,2446,44,9,3,4
73.58,58,2383,44,8,3,4
79.11,58,2383,44,8,3,5
68.83,58,2445,44,9,5,3
59.79,58,2445,44,9,5,3
64.76,58,2446,44,9,3,4
60.53,58,2446,44,8,3,3
69.19,58,2383,44,8,3,4
87.56,58,2446,44,8,3,5
76.31,58,2446,44,8,3,5
82.68,63,2446,44,9,3,5
69.64,63,2383,44,8,3,4
68.32,58,2446,44,9,3,3
83.5,58,2383,44,8,3,5
90.81,58,2446,44,8,3,6
82.33,58,685,40,8,3,5
77.78,58,2383,44,8,3,4
64.21,58,2446,44,9,3,3
92.86,58,2446,44,8,3,6
64.79,58,2446,44,9,3,3
87.67,61,2446,44,8,3,5
87.28,1,1776,44,8,3,6
66.54,46,614,44,7,3,3
69.39,63,614,44,8,3,4
84.58,71,614,44,8,3,5
84.69,1,485,44,8,3,5
70.78,16,1776,44,8,3,4
69.53,16,1776,44,8,3,4
80.72,1,614,44,8,3,4
73.06,1,614,44,8,3,4
92.36,1,614,44,8,3,6
81.08,77,474,44,8,3,5
80.67,77,614,44,8,3,5
70.47,1,614,44,8,3,4
65.11,16,614,44,8,3,3
88.39,1,1776,44,8,3,6
67.31,1,614,44,8,3,3
68.67,16,614,44,8,3,3
85.92,1,614,44,8,3,5
74.86,1,1776,44,8,3,4
70.03,1,614,44,8,3,4
70.17,16,614,44,8,3,3
79,58,614,44,8,3,4
73.75,77,614,44,8,3,4
68.69,58,614,44,8,3,4
82.25,77,614,44,8,3,5
87.31,63,614,44,8,3,5
67.42,77,614,44,8,3,3
68.5,58,614,44,8,3,4
70.31,77,614,44,8,3,3
64.44,58,474,44,8,3,5
61.67,77,926,44,8,3,3
85.51,71,614,44,7,3,5
75.36,1,614,44,8,3,4
77.72,77,614,44,8,3,4
71.19,58,614,44,8,3,4
80.44,58,614,44,8,3,4
71.14,77,614,44,7,3,4
69.42,58,614,44,8,3,3
82.72,1,614,44,8,3,5
68.08,77,614,44,8,3,4
70.94,58,614,44,8,3,4
70.31,77,614,44,8,3,4
69.42,77,614,44,8,3,4
89.58,77,614,44,8,3,6
68.31,77,614,44,8,3,3
91.53,77,614,44,8,3,6
75.5,77,614,44,8,3,4
67.43,77,614,44,7,3,3
80.44,77,614,44,8,3,4
74.39,77,614,44,8,3,4
74.14,77,614,44,8,3,4
66.17,58,614,44,8,3,3
84.31,77,614,44,8,3,5
80.36,77,614,44,8,3,5
82.94,77,614,44,8,3,5
69.83,77,614,44,8,3,4
78.78,77,2143,44,8,3,5
75.25,58,614,44,8,3,4
70.74,77,614,44,7,3,4
71.17,77,614,44,8,3,4
65.25,77,1776,44,8,3,4
73.39,63,926,44,8,3,4
81.89,77,614,44,8,3,5
71.06,77,614,44,8,3,4
77.28,61,614,44,8,3,4
75,77,614,44,8,3,4
74.47,58,2386,44,8,3,5
78.69,77,614,44,8,3,4
64.08,77,614,44,8,3,3
64.03,77,614,44,8,3,3
67.11,77,614,44,8,3,3
72.39,77,614,44,8,3,4
66.17,77,614,44,8,3,3
91.81,58,888,44,8,3,6
61.08,77,614,44,8,3,3
77.56,77,614,44,8,3,4
58.83,77,614,44,8,3,2
97.11,77,614,44,8,3,6
60.36,77,1776,44,8,3,3
63.11,77,614,44,8,3,3
65.17,16,614,44,8,3,3
65.44,16,926,44,8,3,3
81.08,77,614,44,8,3,5
78.53,77,614,44,8,3,5
66.11,77,614,44,8,3,3
91.33,63,614,44,8,3,6
92.94,77,614,44,8,3,6
89.92,58,614,44,8,3,5
60.39,77,1776,44,8,3,3
85.97,58,614,44,8,3,5
87.72,77,614,44,8,3,5
94.89,77,842,44,8,3,6
70.94,77,614,44,8,3,4
88.94,63,1023,44,8,3,6
68,77,614,44,7,3,3
73.14,77,614,44,8,3,4
73.92,1,614,44,8,3,4
82.11,16,614,44,8,3,5
76.56,77,614,44,8,3,4
96.44,77,614,44,8,3,6
76.47,63,614,44,8,3,5
82.44,46,614,44,8,3,5
73.14,16,1776,44,8,3,4
78.33,1,1776,44,8,3,5
65.28,77,1776,44,8,3,3
70.55,1,926,44,8,2,3
74.39,1,614,44,8,3,4
59.94,77,926,44,8,3,3
72.75,1,1776,44,8,3,4
70.19,77,614,44,8,3,3
71.39,58,614,44,8,3,4
72.5,58,614,44,8,3,4
68.89,58,474,44,8,3,4
77.22,58,474,44,8,3,5
98.33,77,614,44,8,3,6
72.44,1,614,44,8,3,4
82.83,77,614,44,8,3,5
82.53,58,338,30,8,3,5
81.86,34,1465,44,8,3,5
68.5,16,1465,44,8,3,4
70.81,16,1465,44,8,3,4
63.58,49,1465,44,8,3,3
69.53,63,1465,44,8,3,4
62.94,16,1465,44,8,3,2
61.67,16,1465,44,8,3,3
60.39,16,1465,44,8,3,3
88.14,22,1465,44,8,3,6
72.19,16,1465,44,8,3,4
70.81,16,1465,44,8,3,3
77.03,58,624,44,8,3,5
91.15,58,888,44,9,3,6
84.86,58,1692,44,8,3,5
84.19,58,2500,44,8,3,5
85.58,50,1465,44,8,3,5
79.33,77,1465,44,8,3,5
62.56,77,1465,44,8,3,3
63.56,77,1465,44,8,3,3
94.72,58,1465,44,8,3,6
82.89,50,1465,44,8,3,5
84.86,63,1465,44,8,3,5
85.81,58,591,44,8,3,5
77.69,77,1465,44,8,3,5
83.64,77,1465,44,8,3,5
80.39,63,1465,44,8,3,5
86.33,77,1465,44,8,3,5
86.75,58,1465,44,8,3,5
80.47,77,1465,44,8,3,5
74.89,77,1465,44,8,3,4
91.67,58,474,44,8,3,6
61.36,50,1465,44,8,3,3
80.92,58,1375,43,8,3,5
93.08,77,1465,44,8,3,6
87.56,77,1465,44,8,3,5
92.97,77,1465,44,8,3,6
69.83,58,1465,44,8,3,4
69.5,63,1465,44,8,3,4
88.58,63,1465,44,8,3,6
84.14,77,1465,44,8,3,5
75.67,77,1465,44,8,3,4
94.17,58,1338,44,8,3,6
86.25,77,1465,44,8,3,5
89.72,77,1465,44,8,3,5
65.61,63,1465,44,8,3,3
62.89,77,1465,44,8,3,3
81.56,58,1465,44,8,3,5
86.78,77,1465,44,8,3,5
62.67,58,1465,44,8,3,3
58.03,77,1465,44,8,3,3
80.5,77,1465,44,8,3,5
84.44,58,1465,44,8,3,5
69.06,58,945,44,8,3,5
64.17,58,1465,44,8,3,3
87.33,58,1322,15,8,3,5
78.64,77,1465,44,8,3,4
90.94,21,1465,44,8,3,6
69.28,77,1465,44,8,3,4
93.75,21,1465,44,8,3,6
66.33,50,1465,44,8,3,3
66.92,77,1465,44,8,3,3
92.56,21,1465,44,8,3,6
67.33,77,1465,44,8,3,4
65.86,77,1465,44,8,3,4
83.92,77,1465,44,8,3,5
80.56,77,1465,44,8,3,5
65.47,77,1465,44,8,3,3
66.06,58,1465,44,8,3,3
70.56,77,1465,44,8,3,4
71.83,58,1465,44,8,3,4
74.67,58,1465,44,8,3,4
80.72,58,1465,44,8,3,5
91.25,77,1465,44,8,3,6
84.92,77,1465,44,8,3,5
81.36,77,1465,44,8,3,5
76.17,58,624,44,8,3,5
84.33,77,1465,44,8,3,5
88.44,77,1465,44,8,3,5
86.36,77,1465,44,8,3,5
89.47,77,1465,44,8,3,6
63.69,58,2098,43,8,3,3
62.08,58,1465,44,8,3,4
83.36,77,1465,44,8,3,5
90.5,58,474,44,8,3,6
80.44,77,1465,44,8,3,5
83.25,77,1465,44,8,3,5
76.69,58,1465,44,8,3,4
91.56,77,1465,44,8,3,6
71.22,77,1465,44,8,3,3
75.36,77,1465,44,8,3,4
78.64,77,1465,44,8,3,5
68.94,77,509,44,8,5,4
93.03,77,1465,44,8,3,6
98.67,77,1465,44,8,3,6
76.58,77,1465,44,8,3,4
86.89,58,1465,44,8,3,5
82.81,50,1465,44,8,3,5
97.06,63,1465,44,8,3,6
57.61,50,1465,44,8,2,2
91.61,77,1465,44,8,3,6
73.64,77,1465,44,8,3,4
76.31,77,1465,44,8,3,4
89.58,77,1465,44,8,3,6
64.06,58,474,44,8,3,4
89.83,77,842,44,8,3,5
69.53,58,1465,44,8,3,4
97.22,58,842,44,8,3,6
87.17,58,1692,44,8,3,5
70.94,77,1465,44,8,3,4
72.42,77,1465,44,8,3,4
91.28,58,474,44,8,3,6
73.31,77,1465,44,8,3,3
71.11,16,1465,44,8,3,4
91.03,50,1465,44,8,3,6
67.69,58,1465,44,8,3,4
63.61,77,1465,44,8,3,4
63.86,63,1465,44,8,3,4
69.31,58,1465,44,8,3,4
72.19,58,474,44,8,3,5
67.25,63,1465,44,8,3,4
77.53,58,1465,44,8,3,4
98.58,77,2039,44,8,3,6
59.92,58,1465,44,8,3,3
95.44,77,1465,44,8,3,6
66.97,77,1465,44,8,2,4
66.47,77,1465,44,8,3,4
97.94,63,1465,44,8,3,6
70,77,1465,44,8,3,4
65.83,16,1465,44,8,3,4
82.89,77,1465,44,8,3,4
75.22,77,1465,44,8,3,4
92.28,21,1465,44,8,3,6
92.5,21,1465,44,8,3,6
67,77,1465,44,8,3,3
83.19,77,1465,44,8,3,5
84.19,63,1465,44,8,3,5
63.78,58,1465,44,8,3,3
73.42,77,1465,44,8,3,4
75.61,77,1465,44,8,3,4
75.92,16,1465,44,8,3,4
64.19,58,1465,44,8,3,3
86.78,58,1271,44,8,3,5
67.75,16,1465,44,8,3,4
76.94,58,87,44,8,3,4
87,77,1465,44,8,3,5
75.97,16,1465,44,8,3,5
73.94,77,1465,44,8,3,4
78.44,21,1853,44,8,3,5
89.39,58,1547,44,8,3,6
80.78,58,2143,44,8,3,5
78.39,58,1547,44,8,3,4
74.69,77,1853,44,8,3,4
84.25,58,1069,44,8,3,5
91.03,58,1550,44,8,3,6
82.69,1,2025,44,8,3,5
93.81,58,1547,44,8,3,6
62.97,58,1547,44,8,3,3
62.91,58,1547,44,7,3,3
71.22,58,2221,44,8,3,4
92.5,58,2492,44,8,3,6
65.67,58,1547,44,8,3,3
64.5,58,1547,44,8,3,3
88.59,58,1230,44,9,3,6
63.22,58,1547,44,8,3,3
66.86,58,1266,44,8,3,4
72.47,58,1547,44,8,3,4
65.14,58,1547,44,8,3,3
65.78,58,1547,44,8,3,3
88.19,58,1547,44,8,3,6
71.86,58,1547,44,8,3,4
89.29,58,1547,44,7,3,6
63.86,77,1547,44,8,3,3
61.39,51,2030,44,8,3,3
58.72,58,1547,44,8,3,3
70.28,58,1547,44,8,3,4
80.22,58,1069,44,8,3,5
82.36,58,2273,44,8,3,5
85.08,58,2221,44,8,3,5
91,58,1522,44,8,3,6
84.75,58,1069,44,8,3,5
87.58,58,2273,44,8,3,5
89.5,58,2221,44,8,3,6
68.28,49,1522,44,8,3,4
77.56,49,1547,44,8,3,4
72.11,58,2273,44,8,3,4
83.78,58,1069,44,8,3,6
81.56,58,2273,44,8,3,5
84,58,1547,44,8,3,5
89.58,58,1522,44,8,3,6
71.39,77,1522,44,8,3,4
82.17,58,118,44,8,3,5
89.86,58,1549,44,8,3,5
83.44,58,612,30,8,3,5
77.89,58,2273,44,8,3,5
68.25,77,2273,44,8,3,4
83,58,2273,44,7,3,5
97.5,58,2273,44,8,3,6
77.83,58,1090,44,8,3,5
77.94,58,865,44,8,3,4
83.31,58,741,44,8,3,5
71.28,58,1522,44,8,3,4
97.83,58,1069,44,8,3,6
85.86,58,1069,44,8,3,5
96.53,58,2221,44,8,3,6
93.86,58,1719,44,8,3,6
91.89,77,1550,44,8,3,6
78.92,58,1522,44,8,3,5
63.14,58,1266,44,8,3,2
78,58,1069,44,8,3,5
81.19,58,1731,44,8,3,4
59.39,58,1419,42,8,3,3
96.72,58,2273,44,8,3,6
76.06,58,1069,44,8,3,5
89,58,1287,44,8,3,6
88.92,58,2039,44,8,3,5
65.92,58,1719,44,8,3,4
85.33,58,2254,31,8,3,5
82.56,58,1069,44,8,3,5
72.22,58,1522,44,8,3,4
73.97,58,1522,44,8,3,4
88.25,58,2128,30,8,3,5
79.22,58,2025,44,8,3,5
87.81,58,1463,44,8,3,5
93.33,58,888,44,8,3,6
93.03,33,1522,44,8,3,6
80.06,58,652,44,8,3,5
87.5,58,337,44,8,3,5
92.03,58,2273,44,8,3,6
87.97,58,1238,44,8,3,5
73.31,58,1069,44,8,3,5
76.11,58,1522,44,8,3,4
91,58,2273,44,8,3,6
73.81,58,202,44,8,3,4
86.81,58,2273,44,8,3,5
70.39,58,1853,44,8,3,4
67.19,58,2273,44,8,3,3
81.25,58,1550,44,8,3,5
87.31,58,1522,44,8,3,5
98.58,58,1522,44,8,3,6
75.22,58,2221,44,8,3,5
71.44,58,1522,44,8,3,4
94.22,58,716,44,8,3,6
92.03,58,1884,44,8,3,6
72.08,58,2273,44,8,3,4
81.22,58,1522,44,8,3,5
62.03,58,2273,44,8,3,3
78.36,58,1522,44,8,3,5
81.36,58,2434,44,8,3,5
80.72,58,1069,44,8,3,5
83.92,58,1522,44,8,3,5
85,58,1522,44,8,3,5
89.44,50,1550,44,8,3,6
87.97,58,741,44,8,3,6
61.94,58,1522,44,8,3,3
75.94,58,1550,44,8,3,4
86.78,58,1522,44,8,3,6
89.69,58,1522,44,8,3,6
74.28,58,2386,44,8,3,5
86.89,58,1069,44,8,3,5
85.89,50,1069,44,8,3,5
87.56,58,1069,44,8,3,6
75.67,58,1141,44,8,3,4
69.53,58,2221,44,8,3,4
61.81,58,1069,44,8,3,4
78.31,77,1069,44,8,3,5
91.14,58,2273,44,8,3,6
93.17,58,2273,44,8,3,6
85.83,58,1069,44,8,3,5
