sec,nat,scho,town,sect,study,final
73.82,58,2439,30,9,5,4
87.96,58,901,37,9,5,5
67.89,58,2478,30,8,3,4
91,58,2249,31,9,5,5
76.03,40,475,30,9,3,4
92,58,2351,37,9,5,5
68.77,58,1397,37,9,5,3
84.78,58,721,30,8,5,5
80.03,58,2406,37,9,3,5
73.12,58,2249,31,9,5,4
83.67,58,801,37,8,2,4
88.17,58,1392,37,9,5,5
71.7,58,2428,30,9,5,3
82.04,58,2405,37,9,5,5
68.03,58,2377,30,9,3,4
86.31,58,2112,33,9,5,5
69.65,58,501,6,8,3,4
70.63,58,1698,30,8,2,3
65.14,58,1983,30,8,2,3
72.58,58,738,37,8,3,4
81.96,58,2299,30,9,5,4
66.97,77,421,30,8,3,4
80.62,49,2466,30,9,3,5
76.09,58,2440,30,9,5,4
77.74,58,628,30,9,5,4
61.25,58,2478,30,8,3,3
93.22,58,2299,30,9,5,5
78.5,58,513,30,9,5,4
95.69,58,1338,44,8,3,6
78.85,58,230,30,9,4,5
88.96,58,316,30,9,5,5
80.93,58,385,30,8,5,4
71.09,58,513,30,9,5,4
81.91,58,2439,30,9,5,4
73.15,58,2424,30,8,5,4
82.43,58,1296,37,9,5,5
77.88,58,2210,31,9,3,5
62.92,58,2466,30,8,3,3
67.42,46,1131,30,8,3,4
79.65,58,1466,44,9,5,5
72.15,58,2425,30,8,5,4
87.93,58,316,30,8,5,5
93.52,58,2299,30,9,5,6
82.15,58,2424,30,8,5,5
65.92,58,2219,31,9,4,4
76.57,58,1451,37,9,5,4
78.07,58,60,35,9,5,4
62.33,58,2252,31,8,3,3
85.83,58,840,37,9,4,5
86.3,58,1296,37,9,5,5
75.86,58,1099,40,8,3,4
67.16,58,795,37,9,5,4
85.74,58,795,37,9,5,5
84.48,58,1011,37,9,5,5
64.69,58,2466,30,8,3,3
87.04,58,795,37,9,5,5
75.23,58,1324,37,9,2,5
74.57,58,513,30,9,5,4
67.28,58,801,37,8,2,4
67.81,58,1290,37,8,3,4
65.32,58,1431,21,9,2,3
84,58,2003,34,9,2,4
84.96,58,1296,37,9,5,5
69.24,58,1639,37,9,3,3
64.11,58,1055,37,8,3,4
70.61,58,1055,37,8,3,4
63.22,58,2294,37,8,2,3
57.83,58,513,30,8,5,3
94.52,58,2392,37,9,5,5
85.14,58,1955,44,9,2,5
82.61,58,412,35,9,5,5
91.52,58,2059,35,9,5,6
81.7,58,2006,35,9,5,5
85.22,58,412,35,9,5,5
66.84,58,333,35,9,5,5
89.42,64,417,35,8,3,5
91.96,58,1832,35,9,5,5
69.41,58,353,35,8,5,3
83.35,58,525,35,9,5,5
86.81,58,428,35,8,5,5
65.22,58,45,35,8,3,4
91.5,58,417,35,8,3,6
59.25,58,417,35,8,3,3
72.26,58,1229,35,9,5,4
61.39,58,462,35,8,5,3
78.74,58,63,35,8,5,4
84.3,58,525,35,9,5,5
69.28,58,1551,35,8,5,4
66.19,58,462,35,8,5,4
83.67,58,428,35,8,5,5
95.96,58,2028,35,8,5,5
83.96,58,519,35,8,5,5
78.35,58,1229,35,9,5,4
81.44,58,353,35,8,5,4
84.14,58,462,35,8,5,5
82.09,58,1229,35,9,5,5
78.39,58,1229,35,9,5,4
87.07,58,557,35,8,5,5
66.06,58,1506,35,8,5,3
61.64,58,413,35,8,3,3
77.22,58,525,35,9,5,5
85.63,58,519,35,8,5,5
